B85 in mT	f85 in MHz	B87 in mT	f87 in MHz
0.1676091305678835	1500000.0	0.11104753542268456	1500000.0
0.22520855314693963	2000000.0	0.14892823675846006	2000000.0
0.2822890620090672	2500000.0	0.18784676552809249	2500000.0
0.3393695708711948	3000000.0	0.22520855314693963	3000000.0
0.3959311660163939	3500000.0	0.26412708191657197	3500000.0
0.45301167487852134	4000000.0	0.3020077832523478	4000000.0
0.510092183740649	4500000.0	0.3404073983050516	4500000.0
0.5676916063197049	5000000.0	0.37828809964082716	5000000.0
0.6247721151818324	5500000.0	0.4161688009766027	5500000.0
0.6823715377608885	6000000.0	0.4545684160293068	6000000.0
0.7378953054722308	6500000.0	0.4934869447989391	6500000.0
0.7965325554851437	7000000.0	0.531886559851643	7000000.0
0.8520563231964862	7500000.0	0.5692483474704901	7500000.0
0.9112124869263272	8000000.0	0.6081668762401227	8000000.0
0.9688119095053831	8500000.0	0.6455286638589697	8500000.0
1.0253735046505823	9000000.0	0.6854850200624589	9000000.0
