0, 0.0, 779.6875, 0.0, 0.7796875, 0.6079125976562499, 6.079125976562499, -5.171888523849758
1, 0.1, 1.6773041289219748e-14, 1.8912829473100717e-14, 5.055808670305701e-17, 1.2780600655369151e-33, 1.278060065536915e-32, -328.9344873497399
2, 0.2, -2.2447321779139884e-15, -2.309217812627995e-14, 4.6402047936116125e-17, 1.0765750263328093e-33, 1.0765750263328092e-32, -329.6795569887632
3, 0.3, 2.0877397033380873e-14, 1.2610762043993584e-14, 4.8781021974519963e-17, 1.1897940524392997e-33, 1.1897940524392996e-32, -329.2452820636353
4, 0.4, -4.701967981635136e-15, -9.981436250444675e-15, 2.2066950176407526e-17, 2.434751450440261e-34, 2.4347514504402605e-33, -336.135453667745
5, 0.5, -1.6563139748626554e-14, -2.022064156739778e-14, 5.2276646553875577e-17, 1.3664238874594156e-33, 1.3664238874594155e-32, -328.64414554367943
6, 0.6, 7.616303421276172e-15, 2.119371301720352e-14, 4.504138316084554e-17, 1.0143630985210501e-33, 1.01436309852105e-32, -329.9380655835842
7, 0.7, -2.7911700728466826e-15, -3.549694175750129e-14, 7.12130185994385e-17, 2.535647009021987e-33, 2.535647009021987e-32, -325.95911205326627
8, 0.8, 3.4876615484513707e-15, -2.571011979701776e-14, 5.189119551729564e-17, 1.3463480861071016e-33, 1.3463480861071016e-32, -328.7084264268872
9, 0.9, 1.628905343942222e-14, 1.9788749631988178e-14, 5.1261208489455844e-17, 1.3138557478997299e-33, 1.3138557478997299e-32, -328.8145231463177
10, 1.0, -1.8737615625763482e-14, 2.050508200734935e-14, 5.555381633936512e-17, 1.5431132549339555e-33, 1.5431132549339554e-32, -328.11602198248033
11, 1.1, -1.6982075468074953e-14, -1.9450912235041695e-14, 5.1642187172066516e-17, 1.3334577479573757e-33, 1.3334577479573755e-32, -328.7502074084375
12, 1.2, -6.230259363970703e-15, 2.9452677276220474e-14, 6.020884753853168e-17, 1.8125526609590763e-33, 1.8125526609590762e-32, -327.4170936680844
13, 1.3, -7.906522658807091e-14, -2.0528826034926784e-14, 1.633737158026992e-16, 1.3345485507590563e-32, 1.3345485507590563e-31, -318.74665621993967
14, 1.4, 5.644963663176128e-14, 5.530515281848558e-15, 1.134398179677779e-16, 6.434296150281294e-33, 6.434296150281293e-32, -321.9149895377396
15, 1.5, -5.043708506402567e-15, -3.546652988656307e-14, 7.164673719554936e-17, 2.5666274753840583e-33, 2.566627475384058e-32, -325.90637160983954
16, 1.6, 1.7139935304388842e-14, 2.5177126009023887e-14, 6.091518878942763e-17, 1.8553301126258046e-33, 1.8553301126258046e-32, -327.31578806622133
17, 1.7, -7.4869797861421e-14, 4.3393674070690835e-14, 1.7307221130110272e-16, 1.4976995162326774e-32, 1.4976995162326773e-31, -318.24575310489786
18, 1.8, 4.1919592796979543e-14, -5.989707427961344e-14, 1.4621780695280734e-16, 1.0689823535044217e-32, 1.0689823535044216e-31, -319.7102946395765
19, 1.9, -2.412826882736141e-14, 4.788574051173278e-14, 1.0724210928478469e-16, 5.750435001924851e-33, 5.750435001924851e-32, -322.4029930108605
20, 2.0, -7.970360482723038e-14, 2.286278805163633e-14, 1.658357223272398e-16, 1.375074339989869e-32, 1.375074339989869e-31, -318.61673822143064
21, 2.1, 9.411742218912167e-15, 4.0725669364638506e-14, 8.359811090672108e-17, 3.4943220735862184e-33, 3.494322073586218e-32, -324.56637068347106
22, 2.2, -1.025815717092815e-13, 3.9467778004120824e-14, 2.1982433309284965e-16, 2.4161368709858057e-32, 2.4161368709858058e-31, -316.16878467141066
23, 2.3, 2.2640743446711298e-14, 4.2356309432056705e-14, 9.605540510609357e-17, 4.6133204250478734e-33, 4.6133204250478734e-32, -323.3598637977342
24, 2.4, -1.0247618725811591e-13, -3.910175135068972e-14, 2.19365593598008e-16, 2.4060631827303205e-32, 2.4060631827303204e-31, -316.1869297236158
25, 2.5, 6.394884621840902e-14, -5.5067062021407764e-14, 1.687819451521435e-16, 1.4243672504670588e-32, 1.4243672504670587e-31, -318.4637802032841
26, 2.6, -5.197144797852715e-14, 7.998484687077312e-14, 1.9077323852077132e-16, 1.8197214267851553e-32, 1.8197214267851552e-31, -317.39995091174217
27, 2.7, -1.8626680059474765e-13, 1.535479642739146e-13, 4.827931165063016e-16, 1.1654459667293368e-31, 1.1654459667293367e-30, -309.3350785675967
28, 2.8, -2.111245206437573e-14, 7.386560980926493e-14, 1.536471795336984e-16, 1.1803727889330275e-32, 1.1803727889330275e-31, -319.2798081082275
29, 2.9, 5.24612905200561e-15, -7.088448751579879e-14, 1.4215670846509823e-16, 1.0104264880815465e-32, 1.0104264880815464e-31, -319.9549527738061
30, 3.0, -5.931366509059899e-14, -1.3759609771013537e-14, 1.2177746470559013e-16, 7.414875455060624e-33, 7.414875455060624e-32, -321.2989613925922
31, 3.1, -3.914907677551871e-14, 1.6791039045283007e-14, 8.519599062387096e-17, 3.6291784091913544e-33, 3.629178409191354e-32, -324.40191681503825
32, 3.2, -6.795323852226698e-14, -3.6281524659620423e-14, 1.5406481307931093e-16, 1.1867983314581508e-32, 1.1867983314581508e-31, -319.2562307293746
33, 3.3, -1.707421096869277e-13, 5.653658964599462e-14, 3.5971796724179594e-16, 6.469850797828489e-32, 6.469850797828489e-31, -311.8910573454412
34, 3.4, -1.0555445406623676e-13, 6.882211814329686e-14, 2.520176717530038e-16, 3.175645343790239e-32, 3.1756453437902384e-31, -314.98168005563366
