Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:29:29

Start Time	27.04.2026 15:28:55
End Time	27.04.2026 15:29:10


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:28:55

Mass [amu]	Ion Current [A]
7,41	-1,702457e-013
7,44	-1,668568e-013
7,47	-1,695251e-013
7,50	-1,775080e-013
7,53	-1,859459e-013
7,56	-1,904397e-013
7,59	-1,896788e-013
7,63	-1,844204e-013
7,66	-1,774649e-013
7,69	-1,725807e-013
7,72	-1,720500e-013
7,75	-1,760323e-013
7,78	-1,821051e-013
7,81	-1,852294e-013
7,84	-1,821406e-013
7,88	-1,758167e-013
7,91	-1,721417e-013
7,94	-1,734471e-013
7,97	-1,779884e-013
8,00	-1,836572e-013
8,03	-1,891517e-013
8,06	-1,920333e-013
8,09	-1,895200e-013
8,13	-1,826003e-013
8,16	-1,758486e-013
8,19	-1,725031e-013
8,22	-1,727052e-013
8,25	-1,753494e-013
8,28	-1,787551e-013
8,31	-1,815116e-013
8,34	-1,841338e-013
8,38	-1,877570e-013
8,41	-1,918727e-013
8,44	-1,944051e-013
8,47	-1,932107e-013
8,50	-1,883465e-013
8,53	-1,824167e-013
8,56	-1,776010e-013
8,59	-1,735006e-013
8,63	-1,688451e-013
8,66	-1,644706e-013
8,69	-1,628413e-013
8,72	-1,648440e-013
8,75	-1,682391e-013
8,78	-1,693017e-013
8,81	-1,669346e-013
8,84	-1,646676e-013
8,88	-1,663846e-013
8,91	-1,716072e-013
8,94	-1,776152e-013
8,97	-1,832013e-013
9,00	-1,879838e-013
9,03	-1,908502e-013
9,06	-1,905615e-013
9,09	-1,872070e-013
9,13	-1,827303e-013
9,16	-1,793155e-013
9,19	-1,774530e-013
9,22	-1,764640e-013
9,25	-1,759457e-013
9,28	-1,758686e-013
9,31	-1,758497e-013
9,34	-1,753332e-013
9,38	-1,745841e-013
9,41	-1,738147e-013
9,44	-1,721159e-013
9,47	-1,692169e-013
9,50	-1,664698e-013
9,53	-1,653145e-013
9,56	-1,665524e-013
9,59	-1,700623e-013
9,63	-1,731901e-013
9,66	-1,714234e-013
9,69	-1,635797e-013
9,72	-1,554656e-013
9,75	-1,548435e-013
9,78	-1,619921e-013
9,81	-1,688473e-013
9,84	-1,690215e-013
9,88	-1,648173e-013
9,91	-1,619022e-013
9,94	-1,618579e-013
9,97	-1,632794e-013
10,00	-1,657907e-013
10,03	-1,703195e-013
10,06	-1,768705e-013
10,09	-1,827798e-013
10,13	-1,841358e-013
10,16	-1,799011e-013
10,19	-1,735996e-013
10,22	-1,700617e-013
10,25	-1,711008e-013
10,28	-1,744147e-013
10,31	-1,762773e-013
10,34	-1,748791e-013
10,38	-1,708612e-013
10,41	-1,655792e-013
10,44	-1,597024e-013
10,47	-1,537213e-013
10,50	-1,494001e-013
10,53	-1,490162e-013
10,56	-1,527713e-013
10,59	-1,584514e-013
10,63	-1,634630e-013
10,66	-1,662707e-013
10,69	-1,667517e-013
10,72	-1,662312e-013
10,75	-1,661021e-013
10,78	-1,657708e-013
10,81	-1,636359e-013
10,84	-1,597318e-013
10,88	-1,557481e-013
10,91	-1,532131e-013
10,94	-1,524170e-013
10,97	-1,529439e-013
11,00	-1,548748e-013
11,03	-1,582307e-013
11,06	-1,621032e-013
11,09	-1,656714e-013
11,13	-1,679401e-013
11,16	-1,668195e-013
11,19	-1,617931e-013
11,22	-1,563654e-013
11,25	-1,544367e-013
11,28	-1,555829e-013
11,31	-1,568948e-013
11,34	-1,575791e-013
11,38	-1,588944e-013
11,41	-1,609683e-013
11,44	-1,622487e-013
11,47	-1,621807e-013
11,50	-1,623681e-013
11,53	-1,633303e-013
11,56	-1,624355e-013
11,59	-1,570032e-013
11,63	-1,472539e-013
11,66	-1,359392e-013
11,69	-1,260296e-013
11,72	-1,177776e-013
11,75	-1,092550e-013
11,78	-1,010094e-013
11,81	-9,652682e-014
11,84	-9,702725e-014
11,88	-9,973112e-014
11,91	-1,015253e-013
11,94	-1,022952e-013
11,97	-1,043004e-013
12,00	-1,084910e-013
12,03	-1,130303e-013
12,06	-1,164470e-013
12,09	-1,197267e-013
12,13	-1,235611e-013
12,16	-1,260546e-013
12,19	-1,253219e-013
12,22	-1,230147e-013
12,25	-1,227106e-013
12,28	-1,257888e-013
12,31	-1,312338e-013
12,34	-1,370479e-013
12,38	-1,407803e-013
12,41	-1,413230e-013
12,44	-1,402817e-013
12,47	-1,401043e-013
12,50	-1,415155e-013
12,53	-1,442330e-013
12,56	-1,472877e-013
12,59	-1,481158e-013
12,63	-1,469023e-013
12,66	-1,490761e-013
12,69	-1,574581e-013
12,72	-1,668569e-013
12,75	-1,704748e-013
12,78	-1,669843e-013
12,81	-1,599437e-013
12,84	-1,539201e-013
12,88	-1,514496e-013
12,91	-1,515971e-013
12,94	-1,513260e-013
12,97	-1,490872e-013
13,00	-1,465074e-013
13,03	-1,461677e-013
13,06	-1,485977e-013
13,09	-1,520319e-013
13,13	-1,545524e-013
13,16	-1,557338e-013
13,19	-1,566615e-013
13,22	-1,588795e-013
13,25	-1,624740e-013
13,28	-1,648015e-013
13,31	-1,628716e-013
13,34	-1,576179e-013
13,38	-1,532556e-013
13,41	-1,516790e-013
13,44	-1,503929e-013
13,47	-1,464209e-013
13,50	-1,399001e-013
13,53	-1,337433e-013
13,56	-1,306654e-013
13,59	-1,312952e-013
13,63	-1,347990e-013
13,66	-1,394284e-013
13,69	-1,430579e-013
13,72	-1,446599e-013
13,75	-1,445476e-013
13,78	-1,432186e-013
13,81	-1,407225e-013
13,84	-1,369000e-013
13,88	-1,319972e-013
13,91	-1,273231e-013
13,94	-1,253453e-013
13,97	-1,278839e-013
14,00	-1,334058e-013
14,03	-1,377918e-013
14,06	-1,389004e-013
14,09	-1,391157e-013
14,13	-1,419280e-013
14,16	-1,467555e-013
14,19	-1,498177e-013
14,22	-1,497869e-013
14,25	-1,494493e-013
14,28	-1,512211e-013
14,31	-1,534047e-013
14,34	-1,530775e-013
14,38	-1,506550e-013
14,41	-1,483703e-013
14,44	-1,467317e-013
14,47	-1,451352e-013
14,50	-1,438234e-013
14,53	-1,435430e-013
14,56	-1,439104e-013
14,59	-1,438676e-013
14,63	-1,433424e-013
14,66	-1,428610e-013
14,69	-1,427596e-013
14,72	-1,433828e-013
14,75	-1,450127e-013
14,78	-1,475899e-013
14,81	-1,504484e-013
14,84	-1,522282e-013
14,88	-1,519334e-013
14,91	-1,497922e-013
14,94	-1,465580e-013
14,97	-1,431891e-013
15,00	-1,412453e-013
15,03	-1,423041e-013
15,06	-1,463976e-013
15,09	-1,514259e-013
15,13	-1,550439e-013
15,16	-1,565723e-013
15,19	-1,564687e-013
15,22	-1,556065e-013
15,25	-1,549985e-013
15,28	-1,546141e-013
15,31	-1,529626e-013
15,34	-1,488899e-013
15,38	-1,440322e-013
15,41	-1,422012e-013
15,44	-1,451466e-013
15,47	-1,502065e-013
15,50	-1,532071e-013
15,53	-1,520926e-013
15,56	-1,465543e-013
15,59	-1,360736e-013
15,63	-1,208271e-013
15,66	-1,037008e-013
15,69	-8,895180e-014
15,72	-7,892909e-014
15,75	-7,298451e-014
15,78	-6,888188e-014
15,81	-6,491419e-014
15,84	-6,135384e-014
15,88	-5,984919e-014
15,91	-6,135440e-014
15,94	-6,546169e-014
15,97	-7,112537e-014
16,00	-7,627245e-014
16,03	-7,822134e-014
16,06	-7,668222e-014
16,09	-7,482917e-014
16,13	-7,646299e-014
16,16	-8,253834e-014
16,19	-8,982662e-014
16,22	-9,379827e-014
16,25	-9,372905e-014
16,28	-9,333115e-014
16,31	-9,601202e-014
16,34	-1,016632e-013
16,38	-1,082822e-013
16,41	-1,151239e-013
16,44	-1,232280e-013
16,47	-1,326553e-013
16,50	-1,408244e-013
16,53	-1,449662e-013
16,56	-1,447267e-013
16,59	-1,411044e-013
16,63	-1,347521e-013
16,66	-1,268950e-013
16,69	-1,203112e-013
16,72	-1,179215e-013
16,75	-1,199439e-013
16,78	-1,230603e-013
16,81	-1,236651e-013
16,84	-1,200659e-013
16,88	-1,119638e-013
16,91	-1,023680e-013
16,94	-9,803450e-014
16,97	-1,032422e-013
17,00	-1,148537e-013
17,03	-1,249234e-013
17,06	-1,274531e-013
17,09	-1,230960e-013
17,13	-1,165239e-013
17,16	-1,106481e-013
17,19	-1,062600e-013
17,22	-1,052962e-013
17,25	-1,105777e-013
17,28	-1,217885e-013
17,31	-1,344449e-013
17,34	-1,437198e-013
17,38	-1,470029e-013
17,41	-1,439269e-013
17,44	-1,370498e-013
17,47	-1,308642e-013
17,50	-1,286251e-013
17,53	-1,305505e-013
17,56	-1,339233e-013
17,59	-1,351598e-013
17,63	-1,319603e-013
17,66	-1,234832e-013
17,69	-1,106379e-013
17,72	-9,641314e-014
17,75	-8,462582e-014
17,78	-7,798543e-014
17,81	-7,623594e-014
17,84	-7,657267e-014
17,88	-7,718791e-014
17,91	-7,852839e-014
17,94	-8,069310e-014
17,97	-8,286556e-014
18,00	-8,492200e-014
18,03	-8,727162e-014
18,06	-9,005043e-014
18,09	-9,278534e-014
18,13	-9,457521e-014
18,16	-9,556135e-014
18,19	-9,728949e-014
18,22	-1,006930e-013
18,25	-1,049633e-013
18,28	-1,089089e-013
18,31	-1,125945e-013
18,34	-1,173669e-013
18,38	-1,239577e-013
18,41	-1,302741e-013
18,44	-1,330572e-013
18,47	-1,320528e-013
18,50	-1,304040e-013
18,53	-1,311488e-013
18,56	-1,343435e-013
18,59	-1,373718e-013
18,63	-1,382949e-013
18,66	-1,383009e-013
18,69	-1,399834e-013
18,72	-1,438868e-013
18,75	-1,474222e-013
18,78	-1,476589e-013
18,81	-1,452900e-013
18,84	-1,439068e-013
18,88	-1,443837e-013
18,91	-1,437411e-013
18,94	-1,412999e-013
18,97	-1,404570e-013
19,00	-1,426435e-013
19,03	-1,454173e-013
19,06	-1,469595e-013
19,09	-1,475113e-013
19,13	-1,464294e-013
19,16	-1,422486e-013
19,19	-1,368688e-013
19,22	-1,353134e-013
19,25	-1,391103e-013
19,28	-1,436936e-013
19,31	-1,446570e-013
19,34	-1,429727e-013
19,38	-1,419108e-013
19,41	-1,425095e-013
19,44	-1,434003e-013
19,47	-1,425511e-013
19,50	-1,399092e-013
19,53	-1,386374e-013
19,56	-1,410946e-013
19,59	-1,452640e-013
19,63	-1,475981e-013
19,66	-1,470304e-013
19,69	-1,449119e-013
19,72	-1,426852e-013
19,75	-1,405905e-013
19,78	-1,386268e-013
19,81	-1,372825e-013
19,84	-1,365828e-013
19,88	-1,363115e-013
19,91	-1,368838e-013
19,94	-1,386159e-013
19,97	-1,410023e-013
20,00	-1,427892e-013
20,03	-1,428334e-013
20,06	-1,418719e-013
20,09	-1,425706e-013
20,13	-1,464297e-013
20,16	-1,509808e-013
20,19	-1,514814e-013
20,22	-1,465436e-013
20,25	-1,405690e-013
20,28	-1,386298e-013
20,31	-1,407126e-013
20,34	-1,429881e-013
20,38	-1,428781e-013
20,41	-1,406955e-013
20,44	-1,380996e-013
20,47	-1,366109e-013
20,50	-1,365516e-013
20,53	-1,372059e-013
20,56	-1,378517e-013
20,59	-1,382661e-013
20,63	-1,389860e-013
20,66	-1,407631e-013
20,69	-1,432285e-013
20,72	-1,453032e-013
20,75	-1,468726e-013
20,78	-1,481003e-013
20,81	-1,480095e-013
20,84	-1,456642e-013
20,88	-1,415638e-013
20,91	-1,377898e-013
20,94	-1,371885e-013
20,97	-1,403944e-013
21,00	-1,442873e-013
21,03	-1,452538e-013
21,06	-1,426637e-013
21,09	-1,383973e-013
21,13	-1,350167e-013
21,16	-1,345518e-013
21,19	-1,372487e-013
21,22	-1,409605e-013
21,25	-1,428683e-013
21,28	-1,426898e-013
21,31	-1,428184e-013
21,34	-1,445049e-013
21,38	-1,458544e-013
21,41	-1,448589e-013
21,44	-1,427921e-013
21,47	-1,422310e-013
21,50	-1,430194e-013
21,53	-1,429411e-013
21,56	-1,413884e-013
21,59	-1,403221e-013
21,63	-1,412316e-013
21,66	-1,421073e-013
21,69	-1,396762e-013
21,72	-1,350280e-013
21,75	-1,334528e-013
21,78	-1,376405e-013
21,81	-1,442124e-013
21,84	-1,471876e-013
21,88	-1,439321e-013
21,91	-1,381904e-013
21,94	-1,360194e-013
21,97	-1,391429e-013
22,00	-1,449775e-013
22,03	-1,513181e-013
22,06	-1,572882e-013
22,09	-1,615582e-013
22,13	-1,630396e-013
22,16	-1,623074e-013
22,19	-1,606630e-013
22,22	-1,585993e-013
22,25	-1,559661e-013
22,28	-1,531309e-013
22,31	-1,514311e-013
22,34	-1,524399e-013
22,38	-1,557241e-013
22,41	-1,579273e-013
22,44	-1,569617e-013
22,47	-1,553314e-013
22,50	-1,554760e-013
22,53	-1,553186e-013
22,56	-1,526413e-013
22,59	-1,493388e-013
22,63	-1,484437e-013
22,66	-1,503505e-013
22,69	-1,525462e-013
22,72	-1,521758e-013
22,75	-1,490625e-013
22,78	-1,453622e-013
22,81	-1,425212e-013
22,84	-1,403371e-013
22,88	-1,387655e-013
22,91	-1,391431e-013
22,94	-1,430108e-013
22,97	-1,491488e-013
23,00	-1,533294e-013
23,03	-1,533844e-013
23,06	-1,517258e-013
23,09	-1,507057e-013
23,13	-1,494262e-013
23,16	-1,464403e-013
23,19	-1,430512e-013
23,22	-1,425664e-013
23,25	-1,455114e-013
23,28	-1,479876e-013
23,31	-1,473234e-013
23,34	-1,455277e-013
23,38	-1,451172e-013
23,41	-1,455450e-013
23,44	-1,445075e-013
23,47	-1,409013e-013
23,50	-1,373987e-013
23,53	-1,386107e-013
23,56	-1,450543e-013
23,59	-1,530484e-013
23,63	-1,595286e-013
23,66	-1,623227e-013
23,69	-1,593106e-013
23,72	-1,510411e-013
23,75	-1,419487e-013
23,78	-1,371933e-013
23,81	-1,383626e-013
23,84	-1,426546e-013
23,88	-1,461572e-013
23,91	-1,473830e-013
23,94	-1,479105e-013
23,97	-1,493295e-013
24,00	-1,501599e-013
24,03	-1,479384e-013
24,06	-1,432787e-013
24,09	-1,393673e-013
24,13	-1,380842e-013
24,16	-1,381676e-013
24,19	-1,371695e-013
24,22	-1,338951e-013
24,25	-1,289369e-013
24,28	-1,245083e-013
24,31	-1,235392e-013
24,34	-1,275423e-013
24,38	-1,347060e-013
24,41	-1,403474e-013
24,44	-1,415516e-013
24,47	-1,409387e-013
24,50	-1,423883e-013
24,53	-1,455833e-013
24,56	-1,480821e-013
24,59	-1,492194e-013
24,63	-1,501029e-013
24,66	-1,515162e-013
24,69	-1,527315e-013
24,72	-1,525976e-013
24,75	-1,510364e-013
24,78	-1,489390e-013
24,81	-1,469908e-013
24,84	-1,451088e-013
24,88	-1,439045e-013
24,91	-1,457113e-013
24,94	-1,514788e-013
24,97	-1,581145e-013
25,00	-1,614826e-013
25,03	-1,606969e-013
25,06	-1,585749e-013
25,09	-1,581980e-013
25,13	-1,594987e-013
25,16	-1,605623e-013
25,19	-1,610270e-013
25,22	-1,615042e-013
25,25	-1,609596e-013
25,28	-1,575137e-013
25,31	-1,513825e-013
25,34	-1,449575e-013
25,38	-1,405812e-013
25,41	-1,393836e-013
25,44	-1,408423e-013
25,47	-1,432238e-013
25,50	-1,458220e-013
25,53	-1,489683e-013
25,56	-1,510503e-013
25,59	-1,500865e-013
25,63	-1,478237e-013
25,66	-1,470386e-013
25,69	-1,467574e-013
25,72	-1,442287e-013
25,75	-1,393245e-013
25,78	-1,348894e-013
25,81	-1,342519e-013
25,84	-1,376360e-013
25,88	-1,403977e-013
25,91	-1,384529e-013
25,94	-1,344663e-013
25,97	-1,338525e-013
26,00	-1,367457e-013
26,03	-1,380308e-013
26,06	-1,345398e-013
26,09	-1,296778e-013
26,13	-1,294204e-013
26,16	-1,351742e-013
26,19	-1,434447e-013
26,22	-1,507702e-013
26,25	-1,551556e-013
26,28	-1,544095e-013
26,31	-1,475110e-013
26,34	-1,376749e-013
26,38	-1,310729e-013
26,41	-1,314655e-013
26,44	-1,376399e-013
26,47	-1,457168e-013
26,50	-1,510395e-013
26,53	-1,497536e-013
26,56	-1,428184e-013
26,59	-1,360610e-013
26,63	-1,337466e-013
26,66	-1,351101e-013
26,69	-1,370807e-013
26,72	-1,375690e-013
26,75	-1,369930e-013
26,78	-1,374129e-013
26,81	-1,400271e-013
26,84	-1,443129e-013
26,88	-1,483829e-013
26,91	-1,501331e-013
26,94	-1,498551e-013
26,97	-1,498054e-013
27,00	-1,502275e-013
27,03	-1,485545e-013
27,06	-1,435329e-013
27,09	-1,379087e-013
27,13	-1,351188e-013
27,16	-1,351887e-013
27,19	-1,360036e-013
27,22	-1,368240e-013
27,25	-1,385527e-013
27,28	-1,412849e-013
27,31	-1,435191e-013
27,34	-1,440628e-013
27,38	-1,434946e-013
27,41	-1,435475e-013
27,44	-1,447739e-013
27,47	-1,451649e-013
27,50	-1,421743e-013
27,53	-1,346801e-013
27,56	-1,217498e-013
27,59	-1,012380e-013
27,63	-7,210774e-014
27,66	-3,845946e-014
27,69	-7,862101e-015
27,72	1,505935e-014
27,75	3,019116e-014
27,78	3,912563e-014
27,81	4,441126e-014
27,84	4,886665e-014
27,88	5,319592e-014
27,91	5,594988e-014
27,94	5,570485e-014
27,97	5,259238e-014
28,00	4,870684e-014
28,03	4,563110e-014
28,06	4,175246e-014
28,09	3,535584e-014
28,13	2,764511e-014
28,16	1,927257e-014
28,19	8,648078e-015
28,22	-4,256944e-015
28,25	-1,658727e-014
28,28	-2,597448e-014
28,31	-3,337087e-014
28,34	-4,170515e-014
28,38	-5,221513e-014
28,41	-6,343307e-014
28,44	-7,439887e-014
28,47	-8,641306e-014
28,50	-9,995113e-014
28,53	-1,131984e-013
28,56	-1,244162e-013
28,59	-1,325055e-013
28,63	-1,367414e-013
28,66	-1,384883e-013
28,69	-1,407299e-013
28,72	-1,446077e-013
28,75	-1,481699e-013
28,78	-1,487556e-013
28,81	-1,462420e-013
28,84	-1,433697e-013
28,88	-1,423762e-013
28,91	-1,431193e-013
28,94	-1,445808e-013
28,97	-1,460992e-013
29,00	-1,475226e-013
29,03	-1,484851e-013
29,06	-1,474585e-013
29,09	-1,437179e-013
29,13	-1,393500e-013
29,16	-1,368767e-013
29,19	-1,372137e-013
29,22	-1,405913e-013
29,25	-1,459342e-013
29,28	-1,502408e-013
29,31	-1,507751e-013
29,34	-1,467065e-013
29,38	-1,395688e-013
29,41	-1,328979e-013
29,44	-1,298715e-013
29,47	-1,311609e-013
29,50	-1,352936e-013
29,53	-1,402844e-013
29,56	-1,442980e-013
29,59	-1,458918e-013
29,63	-1,448574e-013
29,66	-1,419997e-013
29,69	-1,376965e-013
29,72	-1,316419e-013
29,75	-1,244766e-013
29,78	-1,192082e-013
29,81	-1,196711e-013
29,84	-1,262454e-013
29,88	-1,346284e-013
29,91	-1,406256e-013
29,94	-1,437893e-013
29,97	-1,457868e-013
30,00	-1,477413e-013
30,03	-1,489851e-013
30,06	-1,482223e-013
30,09	-1,461441e-013
30,13	-1,448059e-013
30,16	-1,446490e-013
30,19	-1,448552e-013
30,22	-1,455173e-013
30,25	-1,467035e-013
30,28	-1,473331e-013
30,31	-1,473451e-013
30,34	-1,487328e-013
30,38	-1,528141e-013
30,41	-1,580286e-013
30,44	-1,617697e-013
30,47	-1,631503e-013
30,50	-1,621474e-013
30,53	-1,582952e-013
30,56	-1,519142e-013
30,59	-1,447814e-013
30,63	-1,401246e-013
30,66	-1,415109e-013
30,69	-1,482976e-013
30,72	-1,542887e-013
30,75	-1,549476e-013
30,78	-1,517557e-013
30,81	-1,476830e-013
30,84	-1,441052e-013
30,88	-1,415580e-013
30,91	-1,394738e-013
30,94	-1,369751e-013
30,97	-1,345887e-013
31,00	-1,329923e-013
31,03	-1,320951e-013
31,06	-1,323720e-013
31,09	-1,340422e-013
31,13	-1,352788e-013
31,16	-1,338446e-013
31,19	-1,306624e-013
31,22	-1,297752e-013
31,25	-1,338612e-013
31,28	-1,418138e-013
31,31	-1,503129e-013
31,34	-1,558946e-013
31,38	-1,572901e-013
31,41	-1,558407e-013
31,44	-1,529095e-013
31,47	-1,492177e-013
31,50	-1,462948e-013
31,53	-1,455952e-013
31,56	-1,459812e-013
31,59	-1,443562e-013
31,63	-1,394783e-013
31,66	-1,332867e-013
31,69	-1,284253e-013
31,72	-1,258172e-013
31,75	-1,244856e-013
31,78	-1,237037e-013
31,81	-1,240072e-013
31,84	-1,255712e-013
31,88	-1,273810e-013
31,91	-1,274393e-013
31,94	-1,240621e-013
31,97	-1,183806e-013
32,00	-1,139448e-013
32,03	-1,132763e-013
32,06	-1,163167e-013
32,09	-1,211888e-013
32,13	-1,251441e-013
32,16	-1,264550e-013
32,19	-1,259868e-013
32,22	-1,263167e-013
32,25	-1,296423e-013
32,28	-1,359824e-013
32,31	-1,432098e-013
32,34	-1,490760e-013
32,38	-1,520526e-013
32,41	-1,509214e-013
32,44	-1,462249e-013
32,47	-1,416511e-013
32,50	-1,415672e-013
32,53	-1,471170e-013
32,56	-1,548977e-013
32,59	-1,592092e-013
32,63	-1,569280e-013
32,66	-1,501450e-013
32,69	-1,430605e-013
32,72	-1,382541e-013
32,75	-1,366580e-013
32,78	-1,377349e-013
32,81	-1,389125e-013
32,84	-1,379041e-013
32,88	-1,354095e-013
32,91	-1,336784e-013
32,94	-1,341064e-013
32,97	-1,372367e-013
33,00	-1,430217e-013
33,03	-1,498109e-013
