Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:26:23

Start Time	27.04.2026 15:16:41
End Time	27.04.2026 15:23:36


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:16:41

Mass [amu]	Ion Current [A]
7,44	-2,778953e-014
7,47	-2,547604e-014
7,50	-2,495502e-014
7,53	-2,784810e-014
7,56	-3,382988e-014
7,59	-4,169200e-014
7,63	-5,027102e-014
7,66	-5,752004e-014
7,69	-6,067557e-014
7,72	-5,817483e-014
7,75	-5,131915e-014
7,78	-4,349224e-014
7,81	-3,754443e-014
7,84	-3,439715e-014
7,88	-3,355976e-014
7,91	-3,402700e-014
7,94	-3,419016e-014
7,97	-3,214740e-014
8,00	-2,854076e-014
8,03	-2,706262e-014
8,06	-2,951520e-014
8,09	-3,324619e-014
8,13	-3,475444e-014
8,16	-3,334674e-014
8,19	-3,096704e-014
8,22	-2,941679e-014
8,25	-2,819256e-014
8,28	-2,588521e-014
8,31	-2,352500e-014
8,34	-2,414899e-014
8,38	-2,806879e-014
8,41	-3,124603e-014
8,44	-2,950687e-014
8,47	-2,315458e-014
8,50	-1,680580e-014
8,53	-1,463118e-014
8,56	-1,707712e-014
8,59	-2,225125e-014
8,63	-2,782260e-014
8,66	-3,148531e-014
8,69	-3,225748e-014
8,72	-3,164617e-014
8,75	-3,213095e-014
8,78	-3,451600e-014
8,81	-3,764831e-014
8,84	-4,048972e-014
8,88	-4,270090e-014
8,91	-4,332539e-014
8,94	-4,159150e-014
8,97	-3,849695e-014
9,00	-3,545445e-014
9,03	-3,282827e-014
9,06	-3,101431e-014
9,09	-3,094012e-014
9,13	-3,279487e-014
9,16	-3,607094e-014
9,19	-4,031560e-014
9,22	-4,373116e-014
9,25	-4,284425e-014
9,28	-3,641302e-014
9,31	-2,770931e-014
9,34	-2,106427e-014
9,38	-1,799374e-014
9,41	-1,759626e-014
9,44	-1,881240e-014
9,47	-2,077313e-014
9,50	-2,268753e-014
9,53	-2,491618e-014
9,56	-2,833132e-014
9,59	-3,235865e-014
9,63	-3,555532e-014
9,66	-3,683871e-014
9,69	-3,519743e-014
9,72	-3,111279e-014
9,75	-2,782531e-014
9,78	-2,760199e-014
9,81	-2,851388e-014
9,84	-2,818469e-014
9,88	-2,741057e-014
9,91	-2,710954e-014
9,94	-2,598880e-014
9,97	-2,368200e-014
10,00	-2,211917e-014
10,03	-2,252642e-014
10,06	-2,364635e-014
10,09	-2,364216e-014
10,13	-2,318017e-014
10,16	-2,489317e-014
10,19	-2,933685e-014
10,22	-3,388079e-014
10,25	-3,609701e-014
10,28	-3,630263e-014
10,31	-3,581098e-014
10,34	-3,435857e-014
10,38	-3,122414e-014
10,41	-2,764516e-014
10,44	-2,614320e-014
10,47	-2,783203e-014
10,50	-3,117821e-014
10,53	-3,379767e-014
10,56	-3,486298e-014
10,59	-3,464421e-014
10,63	-3,325122e-014
10,66	-3,102193e-014
10,69	-2,893859e-014
10,72	-2,818317e-014
10,75	-2,885138e-014
10,78	-2,923642e-014
10,81	-2,752792e-014
10,84	-2,402959e-014
10,88	-2,113611e-014
10,91	-2,068527e-014
10,94	-2,159352e-014
10,97	-2,194954e-014
11,00	-2,257371e-014
11,03	-2,529455e-014
11,06	-2,867268e-014
11,09	-2,962401e-014
11,13	-2,884223e-014
11,16	-2,980337e-014
11,19	-3,277820e-014
11,22	-3,413430e-014
11,25	-3,134838e-014
11,28	-2,621336e-014
11,31	-2,294452e-014
11,34	-2,376723e-014
11,38	-2,727542e-014
11,41	-3,101021e-014
11,44	-3,303765e-014
11,47	-3,127139e-014
11,50	-2,487330e-014
11,53	-1,575387e-014
11,56	-6,460272e-015
11,59	1,666054e-015
11,63	8,317088e-015
11,66	1,505195e-014
11,69	2,516812e-014
11,72	3,973628e-014
11,75	5,461187e-014
11,78	6,358592e-014
11,81	6,390004e-014
11,84	5,765159e-014
11,88	4,940816e-014
11,91	4,373233e-014
11,94	4,246967e-014
11,97	4,314775e-014
12,00	4,197642e-014
12,03	3,841298e-014
12,06	3,509350e-014
12,09	3,339538e-014
12,13	3,138460e-014
12,16	2,703696e-014
12,19	2,138260e-014
12,22	1,709084e-014
12,25	1,522944e-014
12,28	1,455675e-014
12,31	1,343092e-014
12,34	1,141455e-014
12,38	8,630625e-015
12,41	4,625696e-015
12,44	-1,193158e-015
12,47	-8,629646e-015
12,50	-1,650745e-014
12,53	-2,339449e-014
12,56	-2,831158e-014
12,59	-3,046575e-014
12,63	-2,985223e-014
12,66	-2,798608e-014
12,69	-2,631177e-014
12,72	-2,477029e-014
12,75	-2,271851e-014
12,78	-2,017780e-014
12,81	-1,734450e-014
12,84	-1,417504e-014
12,88	-1,128743e-014
12,91	-9,814995e-015
12,94	-1,054955e-014
12,97	-1,409230e-014
13,00	-2,068320e-014
13,03	-2,846155e-014
13,06	-3,318861e-014
13,09	-3,210024e-014
13,13	-2,650375e-014
13,16	-1,907764e-014
13,19	-1,141742e-014
13,22	-5,305237e-015
13,25	-3,419424e-015
13,28	-6,861488e-015
13,31	-1,353385e-014
13,34	-2,021168e-014
13,38	-2,438603e-014
13,41	-2,478474e-014
13,44	-2,301404e-014
13,47	-2,281927e-014
13,50	-2,573034e-014
13,53	-2,932037e-014
13,56	-2,987390e-014
13,59	-2,573974e-014
13,63	-1,882336e-014
13,66	-1,235999e-014
13,69	-7,303971e-015
13,72	-3,140238e-015
13,75	-4,026147e-016
13,78	5,370209e-016
13,81	4,739383e-016
13,84	-6,322239e-016
13,88	-4,202999e-015
13,91	-1,029582e-014
13,94	-1,606960e-014
13,97	-1,816720e-014
14,00	-1,549693e-014
14,03	-9,693588e-015
14,06	-4,023210e-015
14,09	-1,173731e-015
14,13	-1,727557e-015
14,16	-5,223309e-015
14,19	-1,110151e-014
14,22	-1,736254e-014
14,25	-2,067759e-014
14,28	-2,010803e-014
14,31	-1,817159e-014
14,34	-1,638115e-014
14,38	-1,375256e-014
14,41	-1,069573e-014
14,44	-9,623053e-015
14,47	-1,140591e-014
14,50	-1,448381e-014
14,53	-1,667938e-014
14,56	-1,607861e-014
14,59	-1,188785e-014
14,63	-6,253397e-015
14,66	-2,949676e-015
14,69	-3,259670e-015
14,72	-5,638422e-015
14,75	-8,259314e-015
14,78	-1,002820e-014
14,81	-1,071855e-014
14,84	-1,047107e-014
14,88	-9,235383e-015
14,91	-7,560870e-015
14,94	-6,560050e-015
14,97	-5,835862e-015
15,00	-3,466136e-015
15,03	7,561865e-016
15,06	4,629988e-015
15,09	6,021821e-015
15,13	3,925752e-015
15,16	-9,007775e-016
15,19	-4,934649e-015
15,22	-4,474684e-015
15,25	-8,448489e-016
15,28	1,957099e-016
15,31	-3,935648e-015
15,34	-9,218220e-015
15,38	-1,102604e-014
15,41	-9,948661e-015
15,44	-9,156680e-015
15,47	-8,385093e-015
15,50	-4,342966e-015
15,53	3,684448e-015
15,56	1,273555e-014
15,59	2,041373e-014
15,63	2,753429e-014
15,66	3,657689e-014
15,69	4,790093e-014
15,72	5,840798e-014
15,75	6,507881e-014
15,78	6,793488e-014
15,81	6,898755e-014
15,84	7,016429e-014
15,88	7,170561e-014
15,91	7,206183e-014
15,94	7,058857e-014
15,97	6,924227e-014
16,00	6,969171e-014
16,03	7,093780e-014
16,06	7,137692e-014
16,09	7,018760e-014
16,13	6,679833e-014
16,16	6,169409e-014
16,19	5,637030e-014
16,22	5,130943e-014
16,25	4,540135e-014
16,28	3,791216e-014
16,31	3,018579e-014
16,34	2,447595e-014
16,38	2,107301e-014
16,41	1,760345e-014
16,44	1,179871e-014
16,47	4,426740e-015
16,50	-1,220038e-015
16,53	-2,956148e-015
16,56	-1,540559e-015
16,59	1,524803e-015
16,63	5,695962e-015
16,66	1,049424e-014
16,69	1,501255e-014
16,72	1,831742e-014
16,75	1,950424e-014
16,78	1,825713e-014
16,81	1,606859e-014
16,84	1,607507e-014
16,88	2,006751e-014
16,91	2,578240e-014
16,94	2,941140e-014
16,97	3,065236e-014
17,00	3,221838e-014
17,03	3,484616e-014
17,06	3,644739e-014
17,09	3,576534e-014
17,13	3,360633e-014
17,16	3,058154e-014
17,19	2,652292e-014
17,22	2,254613e-014
17,25	2,051745e-014
17,28	1,938517e-014
17,31	1,578583e-014
17,34	9,186326e-015
17,38	2,503352e-015
17,41	-1,626488e-015
17,44	-2,622695e-015
17,47	-2,045992e-015
17,50	-1,928743e-015
