% Langmuir characteristic curve

% U (Volt)	I (A)
46.855000	-2.980232E-7
46.865002	-3.319001E-7
46.869999	-3.529713E-7
46.875000	-3.910391E-7
46.880001	-4.376052E-7
46.884998	-3.572786E-7
46.895000	-4.332978E-7
46.900002	-2.387678E-7
46.904999	-2.472661E-7
46.910000	-3.360910E-7
46.915001	-2.050074E-7
46.924999	-1.330627E-7
46.930000	-1.118751E-7
46.935001	-1.499429E-7
46.939999	-2.260786E-7
46.945000	-4.037283E-7
46.955002	-3.445894E-7
46.959999	-2.726447E-7
46.965000	-3.953464E-7
46.970001	-5.094334E-7
46.974998	-2.641464E-7
46.985001	-4.164176E-7
46.990002	-2.938323E-7
46.994999	-2.768356E-7
47.000000	-3.149034E-7
47.005001	-1.626322E-7
47.014999	-1.584413E-7
47.020000	-1.880107E-7
47.025002	-6.170012E-9
47.029999	-2.557645E-7
47.035000	-2.980232E-7
47.044998	-2.218876E-7
47.049999	-3.910391E-7
47.055000	-3.995374E-7
47.060001	-4.459871E-7
47.064999	-3.699679E-7
47.075001	-4.417961E-7
47.080002	-4.967442E-7
47.084999	-3.868481E-7
47.090000	-2.735760E-8
47.095001	-1.965091E-7
47.105000	-1.047738E-8
47.110001	2.211891E-9
47.115002	-1.203734E-7
47.119999	-1.880107E-7
47.125000	-2.641464E-7
47.134998	-3.868481E-7
47.139999	-4.967442E-7
47.145000	-5.855691E-7
47.150002	-5.433103E-7
47.154999	-2.726447E-7
47.165001	-5.221227E-7
47.169998	-3.360910E-7
47.174999	-2.980232E-7
47.180000	-1.499429E-7
47.185001	-1.034932E-7
47.195000	-6.961636E-8
47.200001	-7.392373E-8
47.205002	-2.430752E-7
47.209999	-1.499429E-7
47.215000	-4.249159E-7
47.224998	-3.192108E-7
47.230000	-3.953464E-7
47.235001	-4.840549E-7
47.240002	-6.067567E-7
47.244999	-2.726447E-7
47.255001	-5.010515E-7
47.259998	-3.402820E-7
47.264999	-2.980232E-7
47.270000	-1.796288E-7
47.275002	-1.838198E-7
47.285000	-1.076842E-7
47.290001	-7.811468E-8
47.294998	-7.811468E-8
47.299999	-2.050074E-7
47.305000	-2.895249E-7
47.314999	-2.387678E-7
47.320000	-5.306210E-7
47.325001	-4.417961E-7
47.330002	-4.840549E-7
47.334999	-3.783498E-7
47.345001	-4.332978E-7
47.349998	-5.221227E-7
47.355000	-2.514571E-7
47.360001	-3.192108E-7
47.365002	-2.218876E-7
47.375000	-1.161825E-7
47.380001	-3.149034E-7
47.384998	-1.753215E-7
47.389999	-1.330627E-7
47.395000	-2.091983E-7
47.404999	-3.487803E-7
47.410000	-3.953464E-7
47.415001	-4.502945E-7
47.419998	-4.840549E-7
47.424999	-4.798640E-7
47.435001	-3.487803E-7
47.439999	-4.080357E-7
47.445000	-2.726447E-7
47.450001	-3.107125E-7
47.455002	-1.626322E-7
47.465000	-1.880107E-7
47.470001	-1.711305E-7
47.474998	-1.711305E-7
47.480000	-1.034932E-7
47.485001	-2.007000E-7
47.494999	-2.472661E-7
47.500000	-4.206086E-7
47.505001	-2.768356E-7
47.509998	-5.940674E-7
47.514999	-3.783498E-7
47.525002	-3.572786E-7
47.529999	-5.306210E-7
47.535000	-3.107125E-7
47.540001	-3.529713E-7
47.544998	-3.065215E-7
47.555000	-1.626322E-7
47.560001	-1.034932E-7
47.564999	-1.372537E-7
47.570000	-1.584413E-7
47.580002	-2.514571E-7
47.584999	-3.065215E-7
47.590000	-5.475013E-7
47.595001	-5.559996E-7
47.599998	-5.010515E-7
47.610001	-3.699679E-7
47.615002	-5.348120E-7
47.619999	-3.275927E-7
47.625000	-2.345769E-7
47.630001	-3.953464E-7
47.639999	-2.735760E-8
47.645000	-2.811430E-7
47.650002	3.608875E-8
47.654999	-1.372537E-7
47.660000	-2.091983E-7
47.669998	-3.741588E-7
47.674999	-3.022142E-7
47.680000	-4.164176E-7
47.685001	-2.726447E-7
47.689999	-5.264301E-7
47.700001	-4.332978E-7
47.705002	-6.025657E-7
47.709999	-4.586764E-7
47.715000	-3.065215E-7
47.720001	-2.768356E-7
47.730000	-3.192108E-7
47.735001	-2.345769E-7
47.740002	-8.230563E-8
47.744999	-7.811468E-8
47.750000	-1.880107E-7
47.759998	-2.895249E-7
47.764999	-9.930227E-8
47.770000	-3.741588E-7
47.775002	-5.644979E-7
47.779999	-4.840549E-7
47.790001	-4.925532E-7
47.794998	-4.671747E-7
47.799999	-3.319001E-7
47.805000	-3.572786E-7
47.810001	-2.726447E-7
47.820000	-1.711305E-7
47.825001	-1.838198E-7
47.830002	4.877802E-8
47.834999	-8.230563E-8
47.840000	-1.542503E-7
47.849998	-2.050074E-7
47.855000	-3.022142E-7
47.860001	-1.372537E-7
47.865002	-4.122267E-7
47.869999	-4.376052E-7
47.880001	-5.264301E-7
47.884998	-5.137408E-7
47.889999	-5.601905E-7
47.895000	-3.741588E-7
47.900002	-2.303859E-7
47.910000	-3.275927E-7
47.915001	-2.091983E-7
47.919998	-1.245644E-7
47.924999	-2.768356E-7
47.930000	-1.118751E-7
47.939999	-2.980232E-7
