% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-3.275927E-7
-14.994000	-3.487803E-7
-14.988000	-3.445894E-7
-14.982000	-1.965091E-7
-14.976000	-1.372537E-7
-14.970000	-2.345769E-7
-14.964000	-2.430752E-7
-14.958000	-3.022142E-7
-14.952000	-2.811430E-7
-14.946000	-4.841713E-7
-14.940000	-4.207250E-7
-14.934000	-5.391194E-7
-14.928000	-4.502945E-7
-14.922000	-5.010515E-7
-14.916000	-4.164176E-7
-14.910000	-2.218876E-7
-14.904000	-4.207250E-7
-14.898000	-9.499490E-8
-14.892000	-1.330627E-7
-14.886000	-1.584413E-7
-14.880000	-1.499429E-7
-14.874000	-2.050074E-7
-14.868000	-2.050074E-7
-14.862000	-3.360910E-7
-14.856000	-3.487803E-7
-14.850000	-3.741588E-7
-14.844000	-3.953464E-7
-14.838000	-5.898764E-7
-14.832000	-3.275927E-7
-14.826000	-5.518086E-7
-14.820000	-3.741588E-7
-14.814000	-1.711305E-7
-14.808000	-1.753215E-7
-14.802000	-2.218876E-7
-14.796000	-1.880107E-7
-14.790000	-2.895249E-7
-14.784000	-1.542503E-7
-14.778000	-2.007000E-7
-14.772000	-3.614696E-7
-14.766000	-1.923181E-7
-14.760000	-4.249159E-7
-14.754000	-4.291069E-7
-14.748000	-4.122267E-7
-14.742000	-5.813781E-7
-14.736000	-4.291069E-7
-14.730000	-3.445894E-7
-14.724000	-3.445894E-7
-14.718000	-2.430752E-7
-14.712000	-2.811430E-7
-14.706000	-1.711305E-7
-14.700000	-1.118751E-7
-14.694000	-2.472661E-7
-14.688000	-3.402820E-7
-14.682000	-3.826572E-7
-14.676000	-3.445894E-7
-14.670000	-3.910391E-7
-14.664000	-4.164176E-7
-14.658000	-4.544854E-7
-14.652000	-4.164176E-7
-14.645500	-5.306210E-7
-14.639500	-4.502945E-7
-14.633500	-4.417961E-7
-14.627500	-2.599554E-7
-14.621500	-1.880107E-7
-14.615500	-2.176967E-7
-14.609500	-1.753215E-7
-14.603500	-7.380731E-8
-14.597500	-2.260786E-7
-14.591500	-3.953464E-7
-14.585500	-3.445894E-7
-14.579500	-3.910391E-7
-14.573500	-4.671747E-7
-14.567500	-3.402820E-7
-14.561500	-3.234018E-7
-14.555500	-4.629837E-7
-14.549500	-3.487803E-7
-14.543500	-3.572786E-7
-14.537500	-2.557645E-7
-14.531500	-1.965091E-7
-14.525500	-3.107125E-7
-14.519500	-1.330627E-7
-14.513500	-1.753215E-7
-14.507500	-1.542503E-7
-14.501500	-2.387678E-7
-14.495500	-4.417961E-7
-14.489500	-4.841713E-7
-14.483500	-6.109476E-7
-14.477500	-5.306210E-7
-14.471500	-4.502945E-7
-14.465500	-2.938323E-7
-14.459500	-3.953464E-7
-14.453500	-4.249159E-7
-14.447500	-2.853340E-7
-14.441500	-3.022142E-7
-14.435500	-1.499429E-7
-14.429500	-1.499429E-7
-14.423500	-1.880107E-7
-14.417500	-1.838198E-7
-14.411500	-2.853340E-7
-14.405500	-3.402820E-7
-14.399500	-3.149034E-7
-14.393500	-3.868481E-7
-14.387500	-5.644979E-7
-14.381500	-5.813781E-7
-14.375500	-4.249159E-7
-14.369500	-3.107125E-7
-14.363500	-3.910391E-7
-14.357500	-3.614696E-7
-14.351500	-4.502945E-7
-14.345500	-1.923181E-7
-14.339500	-1.796288E-7
-14.333500	-1.118751E-7
-14.327500	-1.584413E-7
-14.321500	-2.514571E-7
-14.315500	-2.472661E-7
-14.309500	-3.995374E-7
-14.303500	-4.207250E-7
-14.297500	-5.010515E-7
-14.291500	-4.756730E-7
-14.285500	-4.756730E-7
-14.279500	-5.306210E-7
-14.273500	-5.518086E-7
-14.267500	-3.487803E-7
-14.261500	-3.065215E-7
-14.255500	-1.499429E-7
-14.249500	-3.826572E-7
-14.243500	-1.796288E-7
-14.237500	-2.176967E-7
-14.231500	-2.133893E-7
-14.225500	-2.641464E-7
-14.219500	-3.402820E-7
-14.213500	-4.249159E-7
-14.207500	-4.122267E-7
-14.201500	-4.629837E-7
-14.195500	-3.107125E-7
-14.189500	-3.656605E-7
-14.183500	-2.895249E-7
-14.177500	-2.641464E-7
-14.171500	-2.218876E-7
-14.165500	-1.499429E-7
-14.159500	-2.218876E-7
-14.153500	-2.726447E-7
-14.147500	-1.880107E-7
-14.141500	-2.430752E-7
-14.135500	-2.684537E-7
-14.129500	-1.965091E-7
-14.123500	-4.164176E-7
-14.117500	-4.417961E-7
-14.111500	-5.476177E-7
-14.105500	-4.968606E-7
-14.099500	-2.684537E-7
-14.093500	-2.599554E-7
-14.087500	-3.319001E-7
-14.081500	-1.161825E-7
-14.075500	-1.796288E-7
-14.069500	-1.584413E-7
-14.063500	-1.415610E-7
-14.057500	-4.249159E-7
-14.051500	-1.880107E-7
-14.045500	-3.107125E-7
-14.039500	-2.811430E-7
-14.033500	-4.502945E-7
-14.027500	-3.826572E-7
-14.021500	-4.841713E-7
-14.015500	-5.137408E-7
-14.009500	-4.122267E-7
-14.003500	-2.514571E-7
-13.997500	-2.684537E-7
-13.991500	-4.417961E-7
-13.985500	-1.965091E-7
-13.979500	-3.065215E-7
-13.973500	-1.965091E-7
-13.967500	-1.626322E-7
-13.961500	-3.149034E-7
-13.955500	-3.107125E-7
-13.949000	-3.402820E-7
-13.943000	-3.529713E-7
-13.937000	-3.995374E-7
-13.931000	-4.756730E-7
-13.925000	-4.587928E-7
-13.919000	-4.164176E-7
-13.913000	-3.741588E-7
-13.907000	-4.122267E-7
-13.901000	-4.502945E-7
-13.895000	-2.133893E-7
-13.889000	-2.895249E-7
-13.883000	-2.091983E-7
-13.877000	-2.811430E-7
-13.871000	-5.273614E-8
-13.865000	-2.176967E-7
-13.859000	-2.853340E-7
-13.853000	-3.868481E-7
-13.847000	-4.376052E-7
-13.841000	-4.841713E-7
-13.835000	-4.629837E-7
-13.829000	-5.095499E-7
-13.823000	-5.010515E-7
-13.817000	-3.487803E-7
-13.811000	-2.895249E-7
-13.805000	-8.649658E-8
-13.799000	-1.669396E-7
-13.793000	-1.372537E-7
-13.787000	-1.330627E-7
-13.781000	-1.499429E-7
-13.775000	-2.853340E-7
-13.769000	-3.402820E-7
-13.763000	-4.080357E-7
-13.757000	-3.149034E-7
-13.751000	-5.306210E-7
-13.745000	-3.953464E-7
-13.739000	-2.853340E-7
-13.733000	-3.572786E-7
-13.727000	-2.853340E-7
-13.721000	-2.938323E-7
-13.715000	-1.542503E-7
-13.709000	-7.380731E-8
-13.703000	-1.288718E-7
-13.697000	-2.260786E-7
-13.691000	-4.004687E-8
-13.685000	-2.811430E-7
-13.679000	-3.319001E-7
-13.673000	-5.010515E-7
-13.667000	-3.953464E-7
-13.661000	-6.448245E-7
-13.655000	-4.334142E-7
-13.649000	-5.264301E-7
-13.643000	-3.826572E-7
-13.637000	-3.487803E-7
-13.631000	-2.895249E-7
