% Langmuir characteristic curve

% U (Volt)	I (A)
0.000000	-2.406538E-5
0.060000	-2.999604E-5
0.120000	-3.889203E-5
0.180000	-3.296137E-5
0.240000	-1.855195E-5
0.300000	-2.193451E-5
0.360000	-3.083050E-5
0.420000	-2.574921E-5
0.480000	-2.999604E-5
0.540000	-3.296137E-5
0.600000	-2.875924E-6
0.660000	-2.871454E-5
0.720000	-2.659857E-5
0.780000	-2.914667E-5
0.840000	-2.999604E-5
0.900000	-4.608929E-5
0.960000	-2.786517E-5
1.020000	-1.388788E-5
1.080000	-3.464520E-5
1.140000	-9.238720E-6
1.200000	-3.083050E-5
1.260000	-2.956390E-5
1.320000	-2.956390E-5
1.380000	-2.151728E-5
1.440000	-2.618134E-5
1.500000	-3.252923E-5
1.560000	-2.914667E-5
1.620000	-3.804266E-5
1.680000	-2.151728E-5
1.740000	-2.110004E-5
1.800000	-2.618134E-5
1.860000	-2.025068E-5
1.920000	-4.991889E-6
1.980000	-3.725290E-6
2.040000	-2.744794E-5
2.100000	-2.489984E-5
2.160000	-3.379583E-5
2.220000	-2.151728E-5
2.280000	-2.489984E-5
2.340000	-2.618134E-5
2.400000	-4.397333E-5
2.460000	-2.659857E-5
2.520000	-3.083050E-5
2.580000	-2.236664E-5
2.640000	-1.981854E-5
2.700000	-2.025068E-5
2.760000	-3.379583E-5
2.820000	-2.744794E-5
2.880000	-5.424023E-6
2.940000	-1.940131E-5
3.000000	-3.592670E-5
3.060000	-3.337860E-5
3.120000	-3.725290E-6
3.185000	-2.703071E-5
3.245000	-3.761053E-5
3.305000	-2.999604E-5
3.365000	-2.193451E-5
3.425000	-1.981854E-5
3.485000	-3.211200E-5
3.545000	-1.981854E-5
3.605000	-2.363324E-5
3.665000	-1.685321E-5
3.725000	-1.981854E-5
3.785000	-4.057586E-5
3.845000	-2.829731E-5
3.905000	-4.312396E-5
3.965000	-1.600385E-5
4.025000	-2.744794E-5
4.085000	-2.871454E-5
4.145000	-2.871454E-5
4.205000	-2.448261E-5
4.265000	-3.083050E-5
4.325000	-3.126264E-5
4.385000	-3.308058E-6
4.445000	-2.066791E-5
4.505000	-2.363324E-5
4.565000	-3.252923E-5
4.625000	-2.744794E-5
4.685000	-2.618134E-5
4.745000	-1.473725E-5
4.805000	-1.558661E-5
4.865000	-2.458692E-6
4.925000	-2.448261E-5
4.985000	-2.363324E-5
5.045000	-2.066791E-5
5.105000	-3.041327E-5
5.165000	-2.744794E-5
5.225000	-2.871454E-5
5.285000	-1.473725E-5
5.345000	-4.270673E-5
5.405000	-4.270673E-5
5.465000	-2.574921E-5
5.525000	-7.107854E-6
5.585000	-1.516938E-5
5.645000	-4.354119E-5
5.705000	-2.458692E-6
5.765000	-2.110004E-5
5.825000	-2.110004E-5
5.885000	-2.193451E-5
5.945000	-2.151728E-5
6.005000	-2.448261E-5
6.065000	-1.896918E-5
6.125000	-2.744794E-5
6.185000	-3.464520E-5
6.245000	-3.634393E-5
6.305000	-2.703071E-5
6.365000	-2.026558E-6
6.425000	-2.574921E-5
6.485000	-2.659857E-5
6.545000	-2.914667E-5
6.605000	-4.650652E-5
6.665000	-2.956390E-5
6.725000	-2.533197E-5
6.785000	-3.126264E-5
6.845000	-1.896918E-5
6.905000	-5.625188E-5
6.965000	-1.643598E-5
7.025000	-2.458692E-6
7.085000	-2.703071E-5
7.145000	-2.744794E-5
7.205000	-2.744794E-5
7.265000	-4.820526E-5
7.325000	-2.786517E-5
7.385000	-2.659857E-5
7.445000	-2.236664E-5
7.505000	-3.041327E-5
7.565000	-2.914667E-5
7.625000	-2.786517E-5
7.685000	-1.855195E-5
7.745000	-2.193451E-5
7.805000	-2.703071E-5
7.865000	-2.458692E-6
7.925000	-2.703071E-5
7.985000	-4.142523E-5
8.045000	-4.142523E-5
8.105000	-1.609325E-6
8.165000	-3.930926E-5
8.225000	-1.558661E-5
8.285000	-1.643598E-5
8.345000	-2.110004E-5
8.405000	-2.744794E-5
8.465000	-3.549457E-5
8.525000	-2.278388E-5
8.585000	-1.940131E-5
8.645000	-2.066791E-5
8.705000	-3.379583E-5
8.765000	-2.151728E-5
8.825000	-2.406538E-5
8.885000	-3.930926E-5
8.945000	-4.270673E-5
9.005000	-2.193451E-5
9.065000	-2.489984E-5
9.125000	-1.770258E-5
9.185000	-2.066791E-5
9.245000	-3.167987E-5
9.305000	-1.813471E-5
9.370000	-3.296137E-5
9.430000	-2.786517E-5
9.490000	-2.025068E-5
9.550000	-3.083050E-5
9.610000	-4.354119E-5
9.670000	-2.703071E-5
9.730000	-2.659857E-5
9.790000	-2.618134E-5
9.850000	-3.308058E-6
9.910000	-1.600385E-5
9.970000	-2.574921E-5
10.030000	-1.685321E-5
10.090000	-3.167987E-5
10.150000	-3.041327E-5
10.210000	-2.363324E-5
10.270000	-1.516938E-5
10.330000	-2.999604E-5
10.390000	-2.744794E-5
10.450000	-4.735589E-5
10.510000	-3.725290E-6
10.570000	-2.151728E-5
10.630000	-2.489984E-5
10.690000	-1.896918E-5
10.750000	-4.693866E-5
10.810000	-1.855195E-5
10.870000	-4.015863E-5
10.930000	-2.278388E-5
10.990000	-2.110004E-5
11.050000	-3.549457E-5
11.110000	-2.829731E-5
11.170000	-3.308058E-6
11.230000	-3.167987E-5
11.290000	-3.337860E-5
11.350000	-1.981854E-5
11.410000	-1.770258E-5
11.470000	-2.406538E-5
11.530000	-3.252923E-5
11.590000	-3.167987E-5
11.650000	-3.126264E-5
11.710000	-2.618134E-5
11.770000	-2.786517E-5
11.830000	-2.026558E-6
11.890000	-4.142523E-5
11.950000	-4.142523E-6
12.010000	-2.914667E-5
12.070000	-2.659857E-5
12.130000	-2.659857E-5
12.190000	-2.193451E-5
12.250000	-3.211200E-5
12.310000	-2.703071E-5
12.370000	-4.312396E-5
12.430000	-5.286932E-5
12.490000	-2.448261E-5
12.550000	-2.618134E-5
12.610000	-1.643598E-5
12.670000	-2.618134E-5
12.730000	-2.489984E-5
12.790000	-4.142523E-5
12.850000	-3.041327E-5
12.910000	-4.142523E-6
12.970000	-3.507733E-5
13.030000	-2.786517E-5
13.090000	-4.354119E-5
13.150000	-2.659857E-5
13.210000	-3.083050E-5
13.270000	-2.703071E-5
13.330000	-3.083050E-5
13.390000	-2.363324E-5
13.450000	-4.439056E-5
13.510000	-1.981854E-5
13.570000	-3.427267E-7
13.630000	-2.956390E-5
13.690000	-2.999604E-5
13.750000	-3.889203E-5
13.810000	-2.871454E-5
13.870000	-4.270673E-5
13.930000	-2.533197E-5
13.990000	-3.296137E-5
14.050000	-3.308058E-6
14.110000	-2.999604E-5
14.170000	-4.185736E-5
14.230000	-1.896918E-5
14.290000	-1.981854E-5
14.350000	-1.940131E-5
14.410000	-2.489984E-5
14.470000	-2.659857E-5
14.530000	-3.761053E-5
14.590000	-3.761053E-5
14.650000	-2.193451E-5
14.710000	-2.458692E-6
14.770000	-2.406538E-5
14.830000	-1.896918E-5
14.890000	-2.066791E-5
14.950000	-3.974140E-5
15.010000	-2.025068E-5
15.070000	-2.744794E-5
15.130000	-1.813471E-5
15.190000	-3.167987E-5
15.250000	-2.574921E-5
15.310000	-3.974140E-5
15.370000	-2.026558E-6
15.430000	-2.744794E-5
15.490000	-3.889203E-5
15.550000	-4.100800E-5
15.615000	-2.321601E-5
15.675000	-4.608929E-5
15.735000	-3.719330E-5
15.795000	-2.193451E-5
15.855000	-3.083050E-5
15.915000	-2.489984E-5
15.975000	-3.676116E-5
16.035000	-2.026558E-6
16.094999	-2.574921E-5
16.155001	-4.015863E-5
16.215000	-2.110004E-5
16.275000	-2.871454E-5
16.334999	-2.533197E-5
16.395000	-3.804266E-5
16.455000	-2.110004E-5
16.514999	-3.804266E-5
16.575001	-2.110004E-5
16.635000	-2.956390E-5
16.695000	-2.574921E-5
16.754999	-3.337860E-5
16.815001	-3.337860E-5
16.875000	-1.940131E-5
16.934999	-4.057586E-5
16.995001	-4.354119E-5
17.055000	-2.659857E-5
17.115000	-1.177192E-6
17.174999	-2.066791E-5
17.235001	-2.321601E-5
17.295000	-3.761053E-5
17.355000	-3.845990E-5
17.415001	-2.448261E-5
17.475000	-3.676116E-5
17.535000	-2.110004E-5
17.594999	-3.804266E-5
17.655001	-2.829731E-5
17.715000	-3.719330E-5
17.775000	-4.439056E-5
17.834999	-4.397333E-5
17.895000	-4.227459E-5
17.955000	-3.804266E-5
18.014999	-2.193451E-5
18.075001	-3.804266E-5
18.135000	-2.533197E-5
18.195000	-1.770258E-5
18.254999	-1.813471E-5
18.315001	-1.981854E-5
18.375000	-2.618134E-5
18.434999	-3.167987E-5
18.495001	-2.489984E-5
18.555000	-4.100800E-5
18.615000	-2.110004E-5
18.674999	-3.252923E-5
18.735001	-3.167987E-5
18.795000	-3.252923E-5
18.855000	-3.041327E-5
18.915001	-2.448261E-5
18.975000	-2.151728E-5
19.035000	1.788139E-6
19.094999	-3.974140E-5
19.155001	-2.786517E-5
19.215000	-3.041327E-5
19.275000	-1.728535E-5
19.334999	-3.296137E-5
19.395000	-4.650652E-5
19.455000	-2.999604E-5
19.514999	-4.397333E-5
19.575001	-2.066791E-5
19.635000	-3.083050E-5
19.695000	-2.875924E-6
19.754999	-4.778802E-5
19.815001	-3.211200E-5
19.875000	-3.719330E-5
19.934999	-1.855195E-5
19.995001	-4.482269E-5
20.055000	-2.448261E-5
20.115000	-4.397333E-5
20.174999	-3.083050E-5
20.235001	-7.539988E-6
20.295000	-4.227459E-5
20.355000	-1.177192E-6
20.415001	-2.786517E-5
20.475000	-2.659857E-5
20.535000	-3.592670E-5
20.594999	-2.066791E-5
20.655001	-4.142523E-6
20.715000	-1.685321E-5
20.775000	-2.914667E-5
20.834999	-2.026558E-6
20.895000	-6.006658E-5
20.955000	-1.981854E-5
21.014999	-1.896918E-5
21.075001	-3.308058E-6
21.135000	-2.659857E-5
21.195000	-3.041327E-5
21.254999	-3.126264E-5
21.315001	-3.252923E-5
21.375000	-1.981854E-5
21.434999	-1.855195E-5
21.495001	-1.855195E-5
21.555000	-2.914667E-5
21.615000	-2.321601E-5
21.674999	-3.930926E-5
21.735001	-2.956390E-5
21.795000	-3.464520E-5
21.855000	-4.015863E-5
21.915001	-2.458692E-6
21.980000	-2.703071E-5
22.040001	-2.025068E-5
22.100000	-3.211200E-5
22.160000	-2.533197E-5
22.219999	-3.041327E-5
22.280001	-4.354119E-5
22.340000	-2.110004E-5
22.400000	-3.041327E-5
22.459999	-2.574921E-5
22.520000	-2.999604E-5
22.580000	-2.875924E-6
