% Langmuir characteristic curve

% U (Volt)	I (A)
46.404999	-3.487803E-7
46.410000	-3.275927E-7
46.415001	-4.122267E-7
46.419998	-2.980232E-7
46.430000	-1.288718E-7
46.435001	-3.614696E-7
46.439999	-3.826572E-7
46.445000	-1.457520E-7
46.450001	-2.895249E-7
46.459999	-3.402820E-7
46.465000	-4.714821E-7
46.470001	-3.783498E-7
46.474998	-4.671747E-7
46.485001	-4.461035E-7
46.490002	-4.037283E-7
46.494999	-4.164176E-7
46.500000	-4.629837E-7
46.509998	-3.614696E-7
46.514999	-1.203734E-7
46.520000	-2.135057E-7
46.525002	-2.811430E-7
46.535000	-3.065215E-7
46.540001	-1.500593E-7
46.544998	-2.895249E-7
46.549999	-4.376052E-7
46.560001	-5.179318E-7
46.564999	-4.249159E-7
46.570000	-4.376052E-7
46.575001	-5.306210E-7
46.584999	-2.387678E-7
46.590000	-4.883623E-7
46.595001	-3.107125E-7
46.599998	-3.275927E-7
46.605000	-3.868481E-7
46.615002	-1.288718E-7
46.619999	-3.614696E-7
46.625000	-3.868481E-7
46.630001	-4.841713E-7
46.639999	-2.938323E-7
46.645000	-3.699679E-7
46.650002	-4.207250E-7
46.654999	-4.249159E-7
46.665001	-5.052425E-7
46.669998	-3.741588E-7
46.674999	-3.783498E-7
46.680000	-2.218876E-7
46.689999	-4.122267E-7
46.695000	-5.010515E-7
46.700001	-3.614696E-7
46.705002	-4.925532E-7
46.715000	-2.811430E-7
46.720001	-2.641464E-7
46.724998	-4.544854E-7
46.730000	-3.826572E-7
46.740002	-4.207250E-7
46.744999	-5.306210E-7
46.750000	-3.699679E-7
46.755001	-4.587928E-7
46.764999	-2.599554E-7
46.770000	-3.868481E-7
46.775002	-3.529713E-7
46.779999	-4.544854E-7
46.785000	-3.065215E-7
46.794998	-4.544854E-7
46.799999	-3.107125E-7
46.805000	-2.980232E-7
46.810001	-1.119915E-7
46.820000	-3.402820E-7
46.825001	-3.149034E-7
46.830002	-5.010515E-7
46.834999	-3.107125E-7
46.845001	-4.925532E-7
46.849998	-5.982583E-7
46.855000	-6.870832E-7
46.860001	-4.968606E-7
46.869999	-4.249159E-7
46.875000	-4.714821E-7
46.880001	-3.826572E-7
46.884998	-3.487803E-7
46.895000	-3.529713E-7
46.900002	-2.387678E-7
46.904999	-2.387678E-7
46.910000	-2.557645E-7
46.919998	-4.671747E-7
46.924999	-3.741588E-7
46.930000	-3.741588E-7
46.935001	-5.601905E-7
46.945000	-4.291069E-7
46.950001	-3.910391E-7
46.955002	-4.207250E-7
46.959999	-6.828923E-7
46.965000	-4.502945E-7
46.974998	-3.572786E-7
46.980000	-4.207250E-7
46.985001	-1.627486E-7
46.990002	-3.192108E-7
47.000000	-2.938323E-7
47.005001	-3.275927E-7
47.009998	-3.783498E-7
47.014999	-2.641464E-7
47.025002	-3.741588E-7
47.029999	-5.518086E-7
47.035000	-4.122267E-7
47.040001	-4.841713E-7
47.049999	-4.207250E-7
47.055000	-4.291069E-7
47.060001	-5.095499E-7
47.064999	-4.249159E-7
47.075001	-3.656605E-7
47.080002	-2.938323E-7
47.084999	-3.149034E-7
47.090000	-3.868481E-7
47.099998	-3.319001E-7
47.105000	-3.192108E-7
47.110001	-3.995374E-7
47.115002	-2.938323E-7
47.125000	-4.334142E-7
47.130001	-2.303859E-7
47.134998	-6.236369E-7
47.139999	-3.656605E-7
47.145000	-4.291069E-7
47.154999	-3.572786E-7
47.160000	-4.080357E-7
47.165001	-3.656605E-7
47.169998	-3.572786E-7
47.180000	-1.288718E-7
47.185001	-4.376052E-7
47.189999	-3.529713E-7
47.195000	-4.798640E-7
47.205002	-3.065215E-7
47.209999	-1.923181E-7
47.215000	-3.234018E-7
47.220001	-2.599554E-7
47.230000	-2.430752E-7
47.235001	-4.207250E-7
47.240002	-4.080357E-7
47.244999	-3.699679E-7
47.255001	-3.783498E-7
47.259998	-3.192108E-7
47.264999	-3.107125E-7
47.270000	-2.938323E-7
47.279999	-3.107125E-7
47.285000	-4.883623E-7
47.290001	-4.544854E-7
47.294998	-2.895249E-7
47.305000	-4.714821E-7
47.310001	-4.841713E-7
47.314999	-4.334142E-7
47.320000	-5.052425E-7
47.325001	-4.756730E-7
47.334999	-4.461035E-7
47.340000	-3.529713E-7
47.345001	-5.433103E-7
47.349998	-3.699679E-7
47.360001	-3.234018E-7
47.365002	-3.319001E-7
47.369999	-3.529713E-7
47.375000	-2.472661E-7
47.384998	-4.798640E-7
47.389999	-3.275927E-7
47.395000	-4.080357E-7
47.400002	-3.741588E-7
47.410000	-5.686888E-7
47.415001	-4.798640E-7
47.419998	-4.671747E-7
47.424999	-4.714821E-7
47.435001	-3.402820E-7
47.439999	-4.037283E-7
47.445000	-2.895249E-7
47.450001	-5.348120E-7
47.459999	-2.726447E-7
47.465000	-3.234018E-7
47.470001	-2.472661E-7
47.474998	-4.502945E-7
47.485001	-3.487803E-7
47.490002	-3.107125E-7
47.494999	-3.319001E-7
47.500000	-4.080357E-7
47.505001	-3.910391E-7
47.514999	-3.107125E-7
47.520000	-4.544854E-7
47.525002	-3.826572E-7
47.529999	-5.179318E-7
47.540001	-4.164176E-7
47.544998	-2.938323E-7
47.549999	-2.938323E-7
47.555000	-2.938323E-7
47.564999	-3.022142E-7
47.570000	-3.656605E-7
47.575001	-2.641464E-7
47.580002	-3.234018E-7
47.590000	-4.968606E-7
47.595001	-4.207250E-7
47.599998	-4.798640E-7
47.605000	-3.741588E-7
47.615002	-3.826572E-7
47.619999	-3.656605E-7
47.625000	-4.080357E-7
47.630001	-3.402820E-7
47.639999	-4.841713E-7
47.645000	-3.065215E-7
47.650002	-1.415610E-7
47.654999	-4.502945E-7
47.665001	-2.599554E-7
47.669998	-2.853340E-7
47.674999	-2.345769E-7
47.680000	-3.910391E-7
47.685001	-3.699679E-7
47.695000	-4.037283E-7
47.700001	-4.080357E-7
47.705002	-3.360910E-7
47.709999	-5.644979E-7
47.720001	-3.995374E-7
47.724998	-1.838198E-7
47.730000	-3.995374E-7
47.735001	-3.487803E-7
47.744999	-2.980232E-7
47.750000	-3.192108E-7
47.755001	-2.260786E-7
47.759998	-4.629837E-7
47.770000	-4.798640E-7
47.775002	-5.475013E-7
47.779999	-3.107125E-7
47.785000	-4.376052E-7
47.794998	-3.699679E-7
47.799999	-3.826572E-7
47.805000	-5.771872E-7
47.810001	-3.910391E-7
47.820000	-4.968606E-7
47.825001	-3.656605E-7
47.830002	-5.010515E-7
47.834999	-3.699679E-7
47.845001	-2.980232E-7
47.849998	-3.192108E-7
47.855000	-2.811430E-7
47.860001	-3.192108E-7
47.865002	-3.783498E-7
47.875000	-1.584413E-7
47.880001	-3.953464E-7
47.884998	-4.798640E-7
47.889999	-4.671747E-7
47.900002	-3.783498E-7
47.904999	-5.348120E-7
47.910000	-5.644979E-7
47.915001	-3.529713E-7
47.924999	-4.080357E-7
47.930000	-3.275927E-7
47.935001	-3.360910E-7
47.939999	-3.783498E-7
47.950001	-2.430752E-7
47.955002	-4.080357E-7
47.959999	-5.391194E-7
47.965000	-3.275927E-7
47.974998	-3.995374E-7
47.980000	-5.348120E-7
47.985001	-6.236369E-7
47.990002	-5.475013E-7
48.000000	-5.052425E-7
48.005001	-3.402820E-7
48.009998	-1.754379E-7
48.014999	-3.149034E-7
48.025002	-4.968606E-7
48.029999	-3.234018E-7
48.035000	-3.953464E-7
48.040001	-2.938323E-7
48.044998	-2.430752E-7
48.055000	-3.022142E-7
48.060001	-1.669396E-7
48.064999	-3.529713E-7
48.070000	-4.291069E-7
48.080002	-3.783498E-7
48.084999	-3.995374E-7
48.090000	-5.898764E-7
48.095001	-5.391194E-7
48.105000	-3.910391E-7
48.110001	-1.542503E-7
48.115002	-3.910391E-7
48.119999	-2.768356E-7
48.130001	-4.417961E-7
48.134998	-3.319001E-7
48.139999	-2.895249E-7
48.145000	-2.938323E-7
48.154999	-2.938323E-7
48.160000	-3.234018E-7
48.165001	-5.559996E-7
48.169998	-3.953464E-7
48.180000	-4.334142E-7
48.185001	-3.699679E-7
48.189999	-3.614696E-7
48.195000	-2.050074E-7
48.205002	-3.275927E-7
48.209999	-4.671747E-7
48.215000	-3.275927E-7
48.220001	-3.910391E-7
48.224998	-3.107125E-7
48.235001	-3.234018E-7
48.240002	-3.275927E-7
48.244999	-4.587928E-7
48.250000	-2.345769E-7
48.259998	-2.218876E-7
48.264999	-3.868481E-7
48.270000	-4.080357E-7
48.275002	-4.376052E-7
48.285000	-4.334142E-7
48.290001	-3.699679E-7
48.294998	-4.968606E-7
48.299999	-2.472661E-7
48.310001	-2.768356E-7
48.314999	-2.387678E-7
48.320000	-3.572786E-7
48.325001	-4.502945E-7
48.334999	-2.938323E-7
48.340000	-3.614696E-7
48.345001	-5.052425E-7
48.349998	-5.475013E-7
48.360001	-5.728798E-7
48.365002	-4.207250E-7
48.369999	-4.291069E-7
48.375000	-3.275927E-7
48.384998	-4.080357E-7
48.389999	-5.475013E-7
48.395000	-3.107125E-7
48.400002	-2.641464E-7
48.404999	-2.684537E-7
48.415001	-1.923181E-7
48.419998	-2.430752E-7
48.424999	-4.417961E-7
48.430000	-3.402820E-7
48.439999	-4.883623E-7
48.445000	-3.402820E-7
48.450001	-3.614696E-7
48.455002	-3.910391E-7
48.465000	-3.910391E-7
48.470001	-2.218876E-7
48.474998	-3.319001E-7
48.480000	-4.968606E-7
48.490002	-3.360910E-7
48.494999	-3.656605E-7
48.500000	-2.938323E-7
48.505001	-2.135057E-7
48.514999	-3.572786E-7
48.520000	-2.980232E-7
48.525002	-3.572786E-7
48.529999	-3.402820E-7
48.540001	-5.095499E-7
48.544998	-5.095499E-7
48.549999	-3.910391E-7
48.555000	-3.953464E-7
48.564999	-5.221227E-7
48.570000	-4.925532E-7
48.575001	-6.828923E-7
48.580002	-4.334142E-7
48.584999	-2.938323E-7
48.595001	-3.529713E-7
48.599998	-2.768356E-7
48.605000	-4.502945E-7
48.610001	-3.107125E-7
48.619999	-5.391194E-7
48.625000	-1.500593E-7
48.630001	-3.614696E-7
48.634998	-3.699679E-7
48.645000	-4.587928E-7
48.650002	-3.529713E-7
48.654999	-2.091983E-7
48.660000	-2.008164E-7
48.669998	-3.995374E-7
48.674999	-2.811430E-7
48.680000	-4.502945E-7
48.685001	-4.249159E-7
48.695000	-2.768356E-7
48.700001	-3.149034E-7
48.705002	-2.430752E-7
48.709999	-3.614696E-7
