% Langmuir characteristic curve

% U (Volt)	I (A)
-15.000000	-5.813781E-7
-14.994000	-5.813781E-7
-14.988000	-4.713656E-7
-14.982000	-5.052425E-7
-14.976000	-5.052425E-7
-14.970000	-5.052425E-7
-14.964000	-4.122267E-7
-14.958000	-4.883623E-7
-14.952000	-3.783498E-7
-14.946000	-2.007000E-7
-14.940000	-1.796288E-7
-14.934000	-6.542541E-8
-14.928000	-2.599554E-7
-14.922000	-5.559996E-7
-14.916000	-3.952300E-7
-14.910000	-3.825407E-7
-14.904000	-4.713656E-7
-14.898000	-6.660121E-7
-14.892000	-4.798640E-7
-14.886000	-6.194459E-7
-14.880000	-4.544854E-7
-14.874000	-3.741588E-7
-14.868000	-3.572786E-7
-14.862000	-2.726447E-7
-14.856000	-3.698515E-7
-14.850000	-3.572786E-7
-14.844000	-2.303859E-7
-14.838000	-3.402820E-7
-14.832000	-2.091983E-7
-14.826000	-4.206086E-7
-14.820000	-4.206086E-7
-14.814000	-4.586764E-7
-14.808000	-5.010515E-7
-14.802000	-5.898764E-7
-14.796000	-6.109476E-7
-14.790000	-4.332978E-7
-14.784000	-4.249159E-7
-14.778000	-4.459871E-7
-14.772000	-2.599554E-7
-14.766000	-5.094334E-7
-14.760000	-1.838198E-7
-14.754000	-1.499429E-7
-14.748000	-2.853340E-7
-14.742000	-2.684537E-7
-14.736000	-3.319001E-7
-14.730000	-3.149034E-7
-14.724000	-4.544854E-7
-14.718000	-5.391194E-7
-14.712000	-3.698515E-7
-14.706000	-5.391194E-7
-14.700000	-5.010515E-7
-14.694000	-5.264301E-7
-14.688000	-3.529713E-7
-14.682000	-2.811430E-7
-14.676000	-2.684537E-7
-14.670000	-3.319001E-7
-14.664000	-2.853340E-7
-14.658000	-2.260786E-7
-14.652000	-2.684537E-7
-14.645500	-4.249159E-7
-14.639500	-3.952300E-7
-14.633500	-5.813781E-7
-14.627500	-4.417961E-7
-14.621500	-6.279442E-7
-14.615500	-4.713656E-7
-14.609500	-4.206086E-7
-14.603500	-4.713656E-7
-14.597500	-3.572786E-7
-14.591500	-3.319001E-7
-14.585500	-1.880107E-7
-14.579500	-2.387678E-7
-14.573500	-2.050074E-7
-14.567500	-8.649658E-8
-14.561500	-2.514571E-7
-14.555500	-2.218876E-7
-14.549500	-4.756730E-7
-14.543500	-4.671747E-7
-14.537500	-4.586764E-7
-14.531500	-5.010515E-7
-14.525500	-5.094334E-7
-14.519500	-4.206086E-7
-14.513500	-5.559996E-7
-14.507500	-4.671747E-7
-14.501500	-3.741588E-7
-14.495500	-2.980232E-7
-14.489500	-2.684537E-7
-14.483500	-1.457520E-7
-14.477500	-1.711305E-7
-14.471500	-2.387678E-7
-14.465500	-1.753215E-7
-14.459500	-3.572786E-7
-14.453500	-2.218876E-7
-14.447500	-5.094334E-7
-14.441500	-5.137408E-7
-14.435500	-4.713656E-7
-14.429500	-4.544854E-7
-14.423500	-3.868481E-7
-14.417500	-3.910391E-7
-14.411500	-3.360910E-7
-14.405500	-2.853340E-7
-14.399500	-2.303859E-7
-14.393500	-1.880107E-7
-14.387500	-2.091983E-7
-14.381500	-1.711305E-7
-14.375500	-3.445894E-7
-14.369500	-3.487803E-7
-14.363500	-4.376052E-7
-14.357500	-4.544854E-7
-14.351500	-4.967442E-7
-14.345500	-4.459871E-7
-14.339500	-4.417961E-7
-14.333500	-5.601905E-7
-14.327500	-3.910391E-7
-14.321500	-3.275927E-7
-14.315500	-3.487803E-7
-14.309500	-3.952300E-7
-14.303500	-2.557645E-7
-14.297500	-2.303859E-7
-14.291500	-2.091983E-7
-14.285500	-2.980232E-7
-14.279500	-3.360910E-7
-14.273500	-3.319001E-7
-14.267500	-4.291069E-7
-14.261500	-4.544854E-7
-14.255500	-3.487803E-7
-14.249500	-6.448245E-7
-14.243500	-4.713656E-7
-14.237500	-4.164176E-7
-14.231500	-3.614696E-7
-14.225500	-3.783498E-7
-14.219500	-2.514571E-7
-14.213500	-2.387678E-7
-14.207500	-4.842877E-8
-14.201500	-2.050074E-7
-14.195500	-3.192108E-7
-14.189500	-3.487803E-7
-14.183500	-5.348120E-7
-14.177500	-4.376052E-7
-14.171500	-5.771872E-7
-14.165500	-4.756730E-7
-14.159500	-4.206086E-7
-14.153500	-5.010515E-7
-14.147500	-4.544854E-7
-14.141500	-2.091983E-7
-14.135500	-2.387678E-7
-14.129500	-2.260786E-7
-14.123500	-4.164176E-7
-14.117500	-1.245644E-7
-14.111500	-7.380731E-8
-14.105500	-2.768356E-7
-14.099500	-3.107125E-7
-14.093500	-3.656605E-7
-14.087500	-3.910391E-7
-14.081500	-4.671747E-7
-14.075500	-4.502945E-7
-14.069500	-5.855691E-7
-14.063500	-5.348120E-7
-14.057500	-5.391194E-7
-14.051500	-4.459871E-7
-14.045500	-4.079193E-7
-14.039500	-2.514571E-7
-14.033500	-2.303859E-7
-14.027500	-2.853340E-7
-14.021500	-2.345769E-7
-14.015500	-2.684537E-7
-14.009500	-2.599554E-7
-14.003500	-3.107125E-7
-13.997500	-3.022142E-7
-13.991500	-6.279442E-7
-13.985500	-4.798640E-7
-13.979500	-6.363261E-7
-13.973500	-4.586764E-7
-13.967500	-4.291069E-7
-13.961500	-4.164176E-7
-13.955500	-3.022142E-7
-13.949000	-3.149034E-7
-13.943000	-2.050074E-7
-13.937000	-2.345769E-7
-13.931000	-6.111804E-8
-13.925000	-2.641464E-7
-13.919000	-4.756730E-7
-13.913000	-3.149034E-7
-13.907000	-4.037283E-7
-13.901000	-5.010515E-7
-13.895000	-5.391194E-7
-13.889000	-4.671747E-7
-13.883000	-4.629837E-7
-13.877000	-4.332978E-7
-13.871000	-3.234018E-7
-13.865000	-2.007000E-7
-13.859000	-2.726447E-7
-13.853000	-1.796288E-7
-13.847000	-1.880107E-7
-13.841000	-2.176967E-7
-13.835000	-2.768356E-7
-13.829000	-3.572786E-7
-13.823000	-2.007000E-7
-13.817000	-3.149034E-7
-13.811000	-5.179318E-7
-13.805000	-6.109476E-7
-13.799000	-5.475013E-7
-13.793000	-4.376052E-7
-13.787000	-4.459871E-7
-13.781000	-3.868481E-7
-13.775000	-3.445894E-7
-13.769000	-1.965091E-7
-13.763000	-3.149034E-7
-13.757000	-2.472661E-7
-13.751000	-2.050074E-7
-13.745000	-1.880107E-7
-13.739000	-3.149034E-7
-13.733000	-2.050074E-7
-13.727000	-5.391194E-7
-13.721000	-4.840549E-7
-13.715000	-5.391194E-7
-13.709000	-5.391194E-7
-13.703000	-5.094334E-7
-13.697000	-4.164176E-7
-13.691000	-3.741588E-7
